episode,epsilon,wins,bot_chips,clone_chips,bot_buyins,clone_buyins,flops,turns,rivers
1000,0.9048,190,112,1000,1000,164,515,621,426,364
2000,0.8187,192,109,962,392,160,528,645,465,388
3000,0.7408,216,126,0,0,198,530,672,485,429
4000,0.6703,230,112,5624,356,221,540,706,543,475
5000,0.6065,237,120,996,1000,219,546,741,556,480
6000,0.5488,160,322,0,0,310,675,543,478,473
7000,0.4966,221,295,0,0,283,700,647,532,514
8000,0.4493,253,277,0,0,269,713,680,552,531
9000,0.4066,267,282,0,0,331,709,710,622,604
10000,0.3679,274,256,0,0,329,733,768,633,610
11000,0.3329,351,117,772,0,259,604,867,785,743
12000,0.3012,381,115,917,253,233,592,867,787,738
13000,0.2725,376,132,996,786,241,561,879,797,761
14000,0.2466,382,106,988,0,255,574,899,829,793
15000,0.2231,398,112,0,0,241,556,926,853,809
16000,0.2019,383,97,0,0,258,593,899,836,794
17000,0.1827,434,86,0,0,256,599,914,865,838
18000,0.1653,435,104,0,0,243,555,936,882,844
19000,0.1496,437,107,664,664,264,568,944,890,868
20000,0.1353,450,93,0,0,256,574,937,887,863
21000,0.1224,429,93,0,0,280,578,946,907,879
